[4/9/19 10:57 AM]|JDBCBroker|JDBCBroker|Error|NOTAG|null<Could not load driver class[com.mysql.jdbc.Driver]>
[4/29/19 1:14 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 1>
[4/29/19 1:55 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1452: Cannot add or update a child row: a foreign key constraint fails (`spr19_csc429_tmcgu2`.`InventoryItem`, CONSTRAINT `InventoryItem_ibfk_1` FOREIGN KEY (`InventoryItemTypeName`) REFERENCES `InventoryItemType` (`ItemTypeName`))>
[4/29/19 2:02 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1452: Cannot add or update a child row: a foreign key constraint fails (`spr19_csc429_tmcgu2`.`InventoryItem`, CONSTRAINT `InventoryItem_ibfk_1` FOREIGN KEY (`InventoryItemTypeName`) REFERENCES `InventoryItemType` (`ItemTypeName`))>
[4/29/19 2:03 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1452: Cannot add or update a child row: a foreign key constraint fails (`spr19_csc429_tmcgu2`.`InventoryItem`, CONSTRAINT `InventoryItem_ibfk_1` FOREIGN KEY (`InventoryItemTypeName`) REFERENCES `InventoryItemType` (`ItemTypeName`))>
[4/29/19 2:06 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1452: Cannot add or update a child row: a foreign key constraint fails (`spr19_csc429_tmcgu2`.`InventoryItem`, CONSTRAINT `InventoryItem_ibfk_1` FOREIGN KEY (`InventoryItemTypeName`) REFERENCES `InventoryItemType` (`ItemTypeName`))>
[4/29/19 2:13 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1452: Cannot add or update a child row: a foreign key constraint fails (`spr19_csc429_tmcgu2`.`InventoryItem`, CONSTRAINT `InventoryItem_ibfk_1` FOREIGN KEY (`InventoryItemTypeName`) REFERENCES `InventoryItemType` (`ItemTypeName`))>
[4/29/19 4:07 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'Name = donuts)' at line 1>
[4/29/19 4:09 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'Name = donuts)' at line 1>
[4/29/19 4:09 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'donuts' in 'where clause'>
[4/29/19 4:10 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Donuts' in 'where clause'>
[4/29/19 4:10 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Donuts' in 'where clause'>
[4/29/19 4:10 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Donuts' in 'where clause'>
[4/29/19 4:34 PM]|VendorInventoryItemType|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ') AND (InventoryItemTypeName = 'donuts')' at line 1>
[4/29/19 5:12 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' 'Unused' , '04-29-201' , 1 , 'donuts' , '04-29-2019' , '' )' at line 1>
[4/29/19 5:15 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' 'Unused' , '10-10-2000' , 1 , 'donuts' , '11-11-2000' , '' )' at line 1>
[4/29/19 5:16 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' 'Unused' , '04-29-2019' , 1 , 'donuts' , '04-29-2019' , '' )' at line 1>
[4/29/19 5:18 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' 'Unused' , '04-29-2019' , 1 , 'donuts' , '04-29-2019' , '' )' at line 1>
[4/29/19 5:23 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'hfjsjsjfh' in 'field list'>
[4/29/19 5:26 PM]|InventoryItem|insertPersistentState|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'jfhfhfjfj' in 'field list'>
